CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,84,38,183,16.72,513.70,307.50,60,501.80,514.45,60,"58,800.00",390,"2,371.95","4,026.10",870,-,"5,598.05",-,-,-,3,
,44,2,158,16.62,483.95,288.35,60,314.60,662.40,60,"58,900.00",390,"2,403.35","4,534.15",870,-,"5,647.30",-,-,-,14,
,"1,580",481,"3,104",16.96,482.70,292.95,30,444.25,482.70,"1,740","59,000.00",-,-,"3,200.00",60,"-3,067.60","3,180.00",19.57,108,8,187,
,43,12,174,16.39,426.10,265.40,900,30.15,596.95,60,"59,100.00",-,-,"4,477.95",870,-,"6,107.90",-,-,-,11,
,49,9,140,16.39,405.25,232.80,60,265.05,566.25,60,"59,200.00",330,"2,674.40","4,579.15",870,-,"5,071.85",-,-,-,4,
,64,27,114,16.48,391.35,243.30,60,382.95,540.50,60,"59,300.00",-,-,"4,912.70",870,-,"5,112.00",-,-,-,15,
,219,11,205,16.18,355.05,112.05,60,365.65,-,-,"59,400.00",-,-,"4,705.00",870,-,"6,107.90",-,-,-,6,
,405,83,450,16.55,357.70,152.70,30,315.45,360.00,30,"59,500.00",30,"2,918.05","3,664.65",60,"-5,100.40","3,699.60",21.78,139,-5,211,
,26,-,-,-,143.65,-,30,150.80,-,-,"59,600.00",-,-,"5,128.20",870,-,"6,300.40",-,-,-,11,
,45,21,75,16.29,309.90,176.75,900,35.15,429.20,60,"59,700.00",-,-,"4,778.60",870,-,"6,368.55",-,-,-,5,
,69,31,89,16.41,300.00,44.60,60,208.55,394.95,60,"59,800.00",-,-,"5,165.35",870,-,"6,455.25",-,-,-,2,
,23,-,-,-,124.55,-,30,136.50,-,-,"59,900.00",-,-,"5,250.80",870,-,"6,565.00",-,-,-,2,
,"3,904",446,"6,772",16.56,277.35,153.65,30,277.15,277.35,450,"60,000.00",60,"3,905.15","4,007.50",60,"-2,808.75","3,981.35",20.09,306,88,435,
